Title,Description
Italy’s pioneering digital bank accelerates with RPA,"See how Banca Progetto has always focused on using technology, including robotic process automation, to drive business growth."
Nest Bank creates a home for automation in the cloud,Learn how Nest Bank expanded the use of robots across its operations and implemented UiPath in the cloud to support fast innovation and to create robots at a pace.
"Dexcom's journey to efficiency with AI-powered automation, unlocking 200,000 hours","See how Dexcom, a leading manufacturer of continuous glucose monitoring devices, leveraged intelligent automation to improve manufacturing efficiency."
Automation saves time for clinicians in North West London,"See how automation frees up time for clinicians in North West London across finance, procurement and human resources, removing the risk of human errors in data processing."
How citizen developers power up Wesco's automation program,"See how citizen developers power up Wesco's automation program, and how the company is offering introductory Intelligent Automation training to all employees."
Modernizing the app delivery foundation at NTT Docomo with UiPath Test Suite,"See how NTT Docomo has used UiPath Test Suite to eliminate individual reliance on testing, as well as reducing the load during large-scale testing."
“It’s like going from paper to computers” – How Fiserv’s contact center halved average handle time with UiPath Apps,See how Fiserv’s contact center is leveraging UiPath Apps to halve average handling time and grow a community of citizen developers.
From Data to Action: İşbank's Journey of Operational Excellence with UiPath Process Mining,"See how İşbank's success with Process Mining has set the stage for further growth and innovation, and revolutionized its approach to process analysis."
Travelport maximizes compliance and employee engagement with automation,See how Travelport boosts engagement and maximizing compliance with automation by unburdening people from manual tasks.
AM/NS India Cuts Vendor Invoice Processing Time to One Sixth,"See how AM/NS India implements UiPath Document Understanding to streamline vendor invoice processing, ensuring timely vendor payments and GST reconciliations."
The voyage to intelligent automation excellence,"See how Wilhelmsen saved the business 11,000 hours between the end of 2018 and early 2023 with Intelligent Automation."
Alpitour's Journey to Robotic Process Automation Success,"See how Alpitour's adoption of UiPath's Robotic Process Automation has improved efficiency, productivity, and employee satisfaction."
Deloitte drives internal efficiencies using the UiPath Business Automation Platform,"Seeking to unleash greater internal efficiency and productivity across their global member firms, Deloitte leveraged the market leading capabilities in the UiPath intelligent autom..."
Vodafone Turkey inspires a new perspective on work,Discover how Vodafone Turkey embraced RPA as a revolutionary strategic investment by exploring the technology and uncovering potential benefits.
"Canon leverages AI for document processing to save 6,000 hours","See how Canon leverages UiPath Document Understanding to increase efficiency, improve invoice handling accuracy, and free up employees to work on more value-added tasks."
Reaping rewards with Intelligent Automation,Discover how AustriaCard Holdings will leverage the CoE to automate more RPA processes and enhance efficiency and productivity across all business units.
"Caricese Implements RPA to Boost Efficiency, Cut Costs, and Enhance Customer Service","See how Caricese Implements RPA to boost efficiency, and provide the same or better service for their customers at a lower cost."
AI for Claims Reconciliation: 600% Increase in the Volume of Claims Expion Health Handles Daily,"See how Expion Health uses Computer Vision to extract claims data and then uses Document Understanding to validate, classify and extract reconciliation data."
Sydbank opens the door to digital transformation,See how Sydbank has begun its journey to digital transformation and how automation is bringing bigger changes within the business and allowing people to think differently.
How BAT Uses UiPath’s Software Robots to Produce Quickly and With Quality,"See how BAT implemented SAP automation using UiPath Platform to increase accuracy, safety, security, and governance."
MyEyeDr. Sharpens Focus on Growth with Automation,"See how MyEyeDr. is enabling growth, fueling innovation, driving efficiency — with the creative use of automation."
